dataset,noise_type,n_eligible
sentnob,char_insert,8
sentnob,char_insert,8
sentnob,char_insert,61
sentnob,char_insert,23
sentnob,char_insert,11
sentnob,char_insert,21
sentnob,char_insert,65
sentnob,char_insert,16
sentnob,char_insert,19
sentnob,char_insert,13
sentnob,char_insert,16
sentnob,char_insert,23
sentnob,char_insert,16
sentnob,char_insert,12
sentnob,char_insert,29
sentnob,char_insert,7
sentnob,char_insert,38
sentnob,char_insert,13
sentnob,char_insert,19
sentnob,char_insert,14
sentnob,char_insert,16
sentnob,char_insert,32
sentnob,char_insert,19
sentnob,char_insert,30
sentnob,char_insert,31
sentnob,char_insert,22
sentnob,char_insert,20
sentnob,char_insert,13
sentnob,char_insert,11
sentnob,char_insert,22
sentnob,char_insert,22
sentnob,char_insert,21
sentnob,char_insert,14
sentnob,char_insert,28
sentnob,char_insert,10
sentnob,char_insert,35
sentnob,char_insert,14
sentnob,char_insert,41
sentnob,char_insert,18
sentnob,char_insert,19
sentnob,char_insert,8
sentnob,char_insert,5
sentnob,char_insert,18
sentnob,char_insert,8
sentnob,char_insert,10
sentnob,char_insert,46
sentnob,char_insert,11
sentnob,char_insert,41
sentnob,char_insert,89
sentnob,char_insert,9
sentnob,char_insert,7
sentnob,char_delete,131
sentnob,char_delete,30
sentnob,char_delete,35
sentnob,char_delete,32
sentnob,char_delete,24
sentnob,char_delete,14
sentnob,char_delete,32
sentnob,char_delete,32
sentnob,char_delete,22
sentnob,char_delete,19
sentnob,char_delete,26
sentnob,char_delete,122
sentnob,char_delete,13
sentnob,char_delete,30
sentnob,char_delete,34
sentnob,char_delete,82
sentnob,char_delete,26
sentnob,char_delete,44
sentnob,char_delete,71
sentnob,char_delete,19
sentnob,char_delete,102
sentnob,char_delete,40
sentnob,char_delete,39
sentnob,char_delete,16
sentnob,char_delete,21
sentnob,char_delete,80
sentnob,char_delete,18
sentnob,char_delete,80
sentnob,char_delete,51
sentnob,char_delete,63
sentnob,char_delete,31
sentnob,char_delete,35
sentnob,char_delete,33
sentnob,char_delete,30
sentnob,char_delete,30
sentnob,char_delete,18
sentnob,char_delete,16
sentnob,char_delete,49
sentnob,char_delete,25
sentnob,char_delete,41
sentnob,char_delete,48
sentnob,char_delete,30
sentnob,char_delete,46
sentnob,char_delete,11
sentnob,char_delete,11
sentnob,char_delete,69
sentnob,char_delete,19
sentnob,char_delete,17
sentnob,char_delete,54
sentnob,char_delete,31
sentnob,char_delete,110
sentnob,char_delete,13
sentnob,char_delete,36
sentnob,char_delete,39
sentnob,char_delete,34
sentnob,char_delete,78
sentnob,char_delete,38
sentnob,char_delete,29
sentnob,char_delete,33
sentnob,char_delete,28
sentnob,char_delete,70
sentnob,char_delete,59
sentnob,char_delete,12
sentnob,char_delete,86
sentnob,char_delete,54
sentnob,char_delete,18
sentnob,char_delete,24
sentnob,char_delete,36
sentnob,char_delete,18
sentnob,char_delete,48
sentnob,char_delete,13
sentnob,char_delete,25
sentnob,char_delete,16
sentnob,char_delete,57
sentnob,char_delete,23
sentnob,char_delete,14
sentnob,char_delete,36
sentnob,char_delete,31
sentnob,char_delete,25
sentnob,char_delete,16
sentnob,char_delete,19
sentnob,char_delete,51
sentnob,char_delete,16
sentnob,char_delete,46
sentnob,char_delete,68
sentnob,char_delete,13
sentnob,char_delete,26
sentnob,char_delete,20
sentnob,char_delete,41
sentnob,char_delete,36
sentnob,char_delete,65
sentnob,char_delete,19
sentnob,char_delete,80
sentnob,char_delete,23
sentnob,char_delete,26
sentnob,char_delete,15
sentnob,char_delete,139
sentnob,char_delete,39
sentnob,char_delete,19
sentnob,char_delete,47
sentnob,char_delete,75
sentnob,char_delete,33
sentnob,char_delete,37
sentnob,char_delete,14
sentnob,char_delete,36
sentnob,char_delete,24
sentnob,char_delete,66
sentnob,char_delete,19
sentnob,char_delete,65
sentnob,char_delete,17
sentnob,char_delete,9
sentnob,char_delete,16
sentnob,char_delete,15
sentnob,char_delete,51
sentnob,char_delete,27
sentnob,char_delete,21
sentnob,char_delete,50
sentnob,char_delete,11
sentnob,char_delete,32
sentnob,char_delete,16
sentnob,char_delete,34
sentnob,char_delete,94
sentnob,char_delete,76
sentnob,char_delete,28
sentnob,char_delete,39
sentnob,char_delete,13
sentnob,char_delete,24
sentnob,char_delete,11
sentnob,char_delete,17
sentnob,char_delete,29
sentnob,char_delete,62
sentnob,char_delete,63
sentnob,char_delete,62
sentnob,char_delete,27
sentnob,char_delete,17
sentnob,char_delete,130
sentnob,char_delete,26
sentnob,char_delete,18
sentnob,char_delete,23
sentnob,char_delete,64
sentnob,char_delete,27
sentnob,char_delete,39
sentnob,char_delete,37
sentnob,char_delete,41
sentnob,char_delete,45
sentnob,char_delete,61
sentnob,char_delete,13
sentnob,char_delete,31
sentnob,char_delete,19
sentnob,char_delete,14
sentnob,char_delete,77
sentnob,char_delete,68
sentnob,char_delete,21
sentnob,char_delete,45
sentnob,char_delete,51
sentnob,char_delete,33
sentnob,char_delete,18
sentnob,char_delete,14
sentnob,char_delete,42
sentnob,char_delete,27
sentnob,char_delete,38
sentnob,char_delete,36
sentnob,char_delete,75
sentnob,char_delete,62
sentnob,char_delete,16
sentnob,char_delete,14
sentnob,char_delete,73
sentnob,char_delete,38
sentnob,char_delete,27
sentnob,char_delete,24
sentnob,char_delete,41
sentnob,char_delete,46
sentnob,char_delete,27
sentnob,char_delete,36
sentnob,char_delete,47
sentnob,char_delete,38
sentnob,char_delete,54
sentnob,char_delete,19
sentnob,char_delete,84
sentnob,char_delete,45
sentnob,char_delete,22
sentnob,char_delete,10
sentnob,char_delete,15
sentnob,char_delete,69
sentnob,char_delete,35
sentnob,char_delete,35
sentnob,char_delete,43
sentnob,char_delete,11
sentnob,char_delete,24
sentnob,char_delete,92
sentnob,char_delete,15
sentnob,char_delete,52
sentnob,char_delete,42
sentnob,char_delete,17
sentnob,char_delete,25
sentnob,char_delete,16
sentnob,char_delete,29
sentnob,char_delete,34
sentnob,char_delete,19
sentnob,char_delete,100
sentnob,char_delete,53
sentnob,char_delete,56
sentnob,char_delete,26
sentnob,char_delete,17
sentnob,char_delete,97
sentnob,char_delete,22
sentnob,char_delete,16
sentnob,char_delete,30
sentnob,char_delete,38
sentnob,char_delete,38
sentnob,char_delete,43
sentnob,char_delete,16
sentnob,char_delete,16
sentnob,char_delete,30
sentnob,char_delete,48
sentnob,char_delete,55
sentnob,char_delete,31
sentnob,char_delete,20
sentnob,char_delete,47
sentnob,char_delete,25
sentnob,char_delete,17
sentnob,char_delete,31
sentnob,char_delete,15
sentnob,char_delete,16
sentnob,char_delete,51
sentnob,char_delete,33
sentnob,char_delete,74
sentnob,char_delete,22
sentnob,char_delete,95
sentnob,char_delete,18
sentnob,char_delete,64
sentnob,char_delete,33
sentnob,char_delete,60
sentnob,char_delete,10
sentnob,char_delete,91
sentnob,char_delete,35
sentnob,char_delete,26
sentnob,char_delete,35
sentnob,char_delete,28
sentnob,char_delete,25
sentnob,char_delete,58
sentnob,char_delete,20
sentnob,char_delete,30
sentnob,char_delete,40
sentnob,char_delete,21
sentnob,char_delete,19
sentnob,char_delete,22
sentnob,char_delete,38
sentnob,char_delete,60
sentnob,char_delete,13
sentnob,char_delete,13
sentnob,char_delete,96
sentnob,char_delete,33
sentnob,char_delete,19
sentnob,char_delete,33
sentnob,char_delete,100
sentnob,char_delete,26
sentnob,char_delete,32
sentnob,char_delete,22
sentnob,char_delete,26
sentnob,char_delete,40
sentnob,char_delete,27
sentnob,char_delete,17
sentnob,char_delete,47
sentnob,char_delete,11
sentnob,char_delete,61
sentnob,char_delete,19
sentnob,char_delete,27
sentnob,char_delete,22
sentnob,char_delete,25
sentnob,char_delete,50
sentnob,char_delete,30
sentnob,char_delete,42
sentnob,char_delete,49
sentnob,char_delete,32
sentnob,char_delete,33
sentnob,char_delete,22
sentnob,char_delete,17
sentnob,char_delete,32
sentnob,char_delete,34
sentnob,char_delete,34
sentnob,char_delete,21
sentnob,char_delete,42
sentnob,char_delete,16
sentnob,char_delete,55
sentnob,char_delete,20
sentnob,char_delete,64
sentnob,char_delete,29
sentnob,char_delete,33
sentnob,char_delete,14
sentnob,char_delete,8
sentnob,char_delete,27
sentnob,char_delete,14
sentnob,char_delete,15
sentnob,char_delete,69
sentnob,char_delete,19
sentnob,char_delete,64
sentnob,char_delete,134
sentnob,char_delete,14
sentnob,char_delete,12
sentnob,char_substitute,133
sentnob,char_substitute,30
sentnob,char_substitute,36
sentnob,char_substitute,33
sentnob,char_substitute,16
sentnob,char_substitute,15
sentnob,char_substitute,35
sentnob,char_substitute,32
sentnob,char_substitute,22
sentnob,char_substitute,19
sentnob,char_substitute,27
sentnob,char_substitute,127
sentnob,char_substitute,14
sentnob,char_substitute,30
sentnob,char_substitute,34
sentnob,char_substitute,85
sentnob,char_substitute,26
sentnob,char_substitute,46
sentnob,char_substitute,72
sentnob,char_substitute,19
sentnob,char_substitute,105
sentnob,char_substitute,40
sentnob,char_substitute,41
sentnob,char_substitute,16
sentnob,char_substitute,23
sentnob,char_substitute,82
sentnob,char_substitute,18
sentnob,char_substitute,81
sentnob,char_substitute,53
sentnob,char_substitute,63
sentnob,char_substitute,27
sentnob,char_substitute,36
sentnob,char_substitute,33
sentnob,char_substitute,30
sentnob,char_substitute,32
sentnob,char_substitute,18
sentnob,char_substitute,17
sentnob,char_substitute,51
sentnob,char_substitute,26
sentnob,char_substitute,41
sentnob,char_substitute,48
sentnob,char_substitute,30
sentnob,char_substitute,46
sentnob,char_substitute,12
sentnob,char_substitute,11
sentnob,char_substitute,72
sentnob,char_substitute,19
sentnob,char_substitute,17
sentnob,char_substitute,54
sentnob,char_substitute,33
sentnob,char_substitute,112
sentnob,char_substitute,13
sentnob,char_substitute,36
sentnob,char_substitute,40
sentnob,char_substitute,35
sentnob,char_substitute,78
sentnob,char_substitute,38
sentnob,char_substitute,31
sentnob,char_substitute,34
sentnob,char_substitute,28
sentnob,char_substitute,71
sentnob,char_substitute,60
sentnob,char_substitute,13
sentnob,char_substitute,87
sentnob,char_substitute,58
sentnob,char_substitute,18
sentnob,char_substitute,21
sentnob,char_substitute,37
sentnob,char_substitute,19
sentnob,char_substitute,50
sentnob,char_substitute,13
sentnob,char_substitute,26
sentnob,char_substitute,14
sentnob,char_substitute,59
sentnob,char_substitute,24
sentnob,char_substitute,14
sentnob,char_substitute,36
sentnob,char_substitute,31
sentnob,char_substitute,28
sentnob,char_substitute,19
sentnob,char_substitute,19
sentnob,char_substitute,52
sentnob,char_substitute,16
sentnob,char_substitute,47
sentnob,char_substitute,73
sentnob,char_substitute,14
sentnob,char_substitute,27
sentnob,char_substitute,20
sentnob,char_substitute,41
sentnob,char_substitute,36
sentnob,char_substitute,67
sentnob,char_substitute,19
sentnob,char_substitute,81
sentnob,char_substitute,24
sentnob,char_substitute,27
sentnob,char_substitute,13
sentnob,char_substitute,141
sentnob,char_substitute,40
sentnob,char_substitute,22
sentnob,char_substitute,47
sentnob,char_substitute,75
sentnob,char_substitute,36
sentnob,char_substitute,38
sentnob,char_substitute,14
sentnob,char_substitute,37
sentnob,char_substitute,24
sentnob,char_substitute,66
sentnob,char_substitute,19
sentnob,char_substitute,67
sentnob,char_substitute,19
sentnob,char_substitute,10
sentnob,char_substitute,11
sentnob,char_substitute,15
sentnob,char_substitute,51
sentnob,char_substitute,27
sentnob,char_substitute,21
sentnob,char_substitute,53
sentnob,char_substitute,13
sentnob,char_substitute,34
sentnob,char_substitute,16
sentnob,char_substitute,36
sentnob,char_substitute,95
sentnob,char_substitute,78
sentnob,char_substitute,29
sentnob,char_substitute,41
sentnob,char_substitute,13
sentnob,char_substitute,24
sentnob,char_substitute,12
sentnob,char_substitute,17
sentnob,char_substitute,29
sentnob,char_substitute,63
sentnob,char_substitute,65
sentnob,char_substitute,61
sentnob,char_substitute,28
sentnob,char_substitute,16
sentnob,char_substitute,128
sentnob,char_substitute,27
sentnob,char_substitute,18
sentnob,char_substitute,23
sentnob,char_substitute,66
sentnob,char_substitute,27
sentnob,char_substitute,41
sentnob,char_substitute,39
sentnob,char_substitute,42
sentnob,char_substitute,47
sentnob,char_substitute,65
sentnob,char_substitute,13
sentnob,char_substitute,31
sentnob,char_substitute,20
sentnob,char_substitute,16
sentnob,char_substitute,78
sentnob,char_substitute,70
sentnob,char_substitute,23
sentnob,char_substitute,47
sentnob,char_substitute,51
sentnob,char_substitute,36
sentnob,char_substitute,18
sentnob,char_substitute,14
sentnob,char_substitute,43
sentnob,char_substitute,28
sentnob,char_substitute,40
sentnob,char_substitute,36
sentnob,char_substitute,76
sentnob,char_substitute,57
sentnob,char_substitute,16
sentnob,char_substitute,14
sentnob,char_substitute,75
sentnob,char_substitute,40
sentnob,char_substitute,27
sentnob,char_substitute,22
sentnob,char_substitute,41
sentnob,char_substitute,46
sentnob,char_substitute,27
sentnob,char_substitute,36
sentnob,char_substitute,48
sentnob,char_substitute,39
sentnob,char_substitute,54
sentnob,char_substitute,20
sentnob,char_substitute,88
sentnob,char_substitute,46
sentnob,char_substitute,23
sentnob,char_substitute,9
sentnob,char_substitute,15
sentnob,char_substitute,71
sentnob,char_substitute,38
sentnob,char_substitute,35
sentnob,char_substitute,43
sentnob,char_substitute,11
sentnob,char_substitute,26
sentnob,char_substitute,83
sentnob,char_substitute,15
sentnob,char_substitute,52
sentnob,char_substitute,43
sentnob,char_substitute,17
sentnob,char_substitute,27
sentnob,char_substitute,16
sentnob,char_substitute,27
sentnob,char_substitute,36
sentnob,char_substitute,19
sentnob,char_substitute,100
sentnob,char_substitute,50
sentnob,char_substitute,53
sentnob,char_substitute,26
sentnob,char_substitute,17
sentnob,char_substitute,97
sentnob,char_substitute,24
sentnob,char_substitute,16
sentnob,char_substitute,35
sentnob,char_substitute,39
sentnob,char_substitute,38
sentnob,char_substitute,45
sentnob,char_substitute,16
sentnob,char_substitute,16
sentnob,char_substitute,30
sentnob,char_substitute,49
sentnob,char_substitute,60
sentnob,char_substitute,32
sentnob,char_substitute,20
sentnob,char_substitute,50
sentnob,char_substitute,25
sentnob,char_substitute,17
sentnob,char_substitute,31
sentnob,char_substitute,16
sentnob,char_substitute,17
sentnob,char_substitute,51
sentnob,char_substitute,33
sentnob,char_substitute,75
sentnob,char_substitute,23
sentnob,char_substitute,96
sentnob,char_substitute,14
sentnob,char_substitute,64
sentnob,char_substitute,33
sentnob,char_substitute,53
sentnob,char_substitute,9
sentnob,char_substitute,95
sentnob,char_substitute,36
sentnob,char_substitute,27
sentnob,char_substitute,36
sentnob,char_substitute,30
sentnob,char_substitute,26
sentnob,char_substitute,62
sentnob,char_substitute,20
sentnob,char_substitute,31
sentnob,char_substitute,41
sentnob,char_substitute,22
sentnob,char_substitute,19
sentnob,char_substitute,25
sentnob,char_substitute,41
sentnob,char_substitute,60
sentnob,char_substitute,14
sentnob,char_substitute,14
sentnob,char_substitute,99
sentnob,char_substitute,33
sentnob,char_substitute,19
sentnob,char_substitute,34
sentnob,char_substitute,102
sentnob,char_substitute,28
sentnob,char_substitute,32
sentnob,char_substitute,23
sentnob,char_substitute,27
sentnob,char_substitute,41
sentnob,char_substitute,28
sentnob,char_substitute,17
sentnob,char_substitute,49
sentnob,char_substitute,8
sentnob,char_substitute,65
sentnob,char_substitute,14
sentnob,char_substitute,29
sentnob,char_substitute,22
sentnob,char_substitute,25
sentnob,char_substitute,52
sentnob,char_substitute,31
sentnob,char_substitute,43
sentnob,char_substitute,39
sentnob,char_substitute,34
sentnob,char_substitute,32
sentnob,char_substitute,29
sentnob,char_substitute,17
sentnob,char_substitute,32
sentnob,char_substitute,34
sentnob,char_substitute,34
sentnob,char_substitute,21
sentnob,char_substitute,42
sentnob,char_substitute,16
sentnob,char_substitute,57
sentnob,char_substitute,20
sentnob,char_substitute,68
sentnob,char_substitute,29
sentnob,char_substitute,34
sentnob,char_substitute,15
sentnob,char_substitute,10
sentnob,char_substitute,27
sentnob,char_substitute,15
sentnob,char_substitute,16
sentnob,char_substitute,75
sentnob,char_substitute,21
sentnob,char_substitute,65
sentnob,char_substitute,134
sentnob,char_substitute,9
sentnob,char_substitute,8
sentnob,char_transpose,89
sentnob,char_transpose,21
sentnob,char_transpose,21
sentnob,char_transpose,18
sentnob,char_transpose,17
sentnob,char_transpose,9
sentnob,char_transpose,19
sentnob,char_transpose,20
sentnob,char_transpose,14
sentnob,char_transpose,14
sentnob,char_transpose,16
sentnob,char_transpose,82
sentnob,char_transpose,8
sentnob,char_transpose,19
sentnob,char_transpose,21
sentnob,char_transpose,53
sentnob,char_transpose,17
sentnob,char_transpose,26
sentnob,char_transpose,46
sentnob,char_transpose,13
sentnob,char_transpose,68
sentnob,char_transpose,28
sentnob,char_transpose,26
sentnob,char_transpose,11
sentnob,char_transpose,12
sentnob,char_transpose,51
sentnob,char_transpose,12
sentnob,char_transpose,54
sentnob,char_transpose,32
sentnob,char_transpose,42
sentnob,char_transpose,20
sentnob,char_transpose,24
sentnob,char_transpose,23
sentnob,char_transpose,20
sentnob,char_transpose,20
sentnob,char_transpose,11
sentnob,char_transpose,11
sentnob,char_transpose,31
sentnob,char_transpose,16
sentnob,char_transpose,27
sentnob,char_transpose,29
sentnob,char_transpose,20
sentnob,char_transpose,28
sentnob,char_transpose,6
sentnob,char_transpose,7
sentnob,char_transpose,45
sentnob,char_transpose,12
sentnob,char_transpose,11
sentnob,char_transpose,34
sentnob,char_transpose,19
sentnob,char_transpose,70
sentnob,char_transpose,8
sentnob,char_transpose,24
sentnob,char_transpose,22
sentnob,char_transpose,23
sentnob,char_transpose,53
sentnob,char_transpose,26
sentnob,char_transpose,20
sentnob,char_transpose,20
sentnob,char_transpose,20
sentnob,char_transpose,46
sentnob,char_transpose,42
sentnob,char_transpose,8
sentnob,char_transpose,59
sentnob,char_transpose,31
sentnob,char_transpose,12
sentnob,char_transpose,16
sentnob,char_transpose,20
sentnob,char_transpose,13
sentnob,char_transpose,30
sentnob,char_transpose,8
sentnob,char_transpose,15
sentnob,char_transpose,11
sentnob,char_transpose,36
sentnob,char_transpose,14
sentnob,char_transpose,10
sentnob,char_transpose,22
sentnob,char_transpose,21
sentnob,char_transpose,15
sentnob,char_transpose,10
sentnob,char_transpose,13
sentnob,char_transpose,35
sentnob,char_transpose,11
sentnob,char_transpose,33
sentnob,char_transpose,44
sentnob,char_transpose,8
sentnob,char_transpose,17
sentnob,char_transpose,13
sentnob,char_transpose,25
sentnob,char_transpose,22
sentnob,char_transpose,41
sentnob,char_transpose,13
sentnob,char_transpose,50
sentnob,char_transpose,14
sentnob,char_transpose,17
sentnob,char_transpose,8
sentnob,char_transpose,94
sentnob,char_transpose,25
sentnob,char_transpose,12
sentnob,char_transpose,32
sentnob,char_transpose,48
sentnob,char_transpose,21
sentnob,char_transpose,23
sentnob,char_transpose,9
sentnob,char_transpose,25
sentnob,char_transpose,15
sentnob,char_transpose,46
sentnob,char_transpose,12
sentnob,char_transpose,42
sentnob,char_transpose,9
sentnob,char_transpose,6
sentnob,char_transpose,11
sentnob,char_transpose,11
sentnob,char_transpose,33
sentnob,char_transpose,17
sentnob,char_transpose,13
sentnob,char_transpose,33
sentnob,char_transpose,7
sentnob,char_transpose,19
sentnob,char_transpose,11
sentnob,char_transpose,21
sentnob,char_transpose,56
sentnob,char_transpose,48
sentnob,char_transpose,19
sentnob,char_transpose,24
sentnob,char_transpose,9
sentnob,char_transpose,17
sentnob,char_transpose,7
sentnob,char_transpose,11
sentnob,char_transpose,19
sentnob,char_transpose,42
sentnob,char_transpose,42
sentnob,char_transpose,40
sentnob,char_transpose,18
sentnob,char_transpose,11
sentnob,char_transpose,90
sentnob,char_transpose,17
sentnob,char_transpose,11
sentnob,char_transpose,15
sentnob,char_transpose,45
sentnob,char_transpose,15
sentnob,char_transpose,27
sentnob,char_transpose,21
sentnob,char_transpose,24
sentnob,char_transpose,29
sentnob,char_transpose,40
sentnob,char_transpose,9
sentnob,char_transpose,20
sentnob,char_transpose,14
sentnob,char_transpose,9
sentnob,char_transpose,52
sentnob,char_transpose,44
sentnob,char_transpose,13
sentnob,char_transpose,29
sentnob,char_transpose,34
sentnob,char_transpose,19
sentnob,char_transpose,12
sentnob,char_transpose,8
sentnob,char_transpose,27
sentnob,char_transpose,17
sentnob,char_transpose,25
sentnob,char_transpose,25
sentnob,char_transpose,47
sentnob,char_transpose,40
sentnob,char_transpose,10
sentnob,char_transpose,8
sentnob,char_transpose,46
sentnob,char_transpose,23
sentnob,char_transpose,18
sentnob,char_transpose,14
sentnob,char_transpose,26
sentnob,char_transpose,32
sentnob,char_transpose,16
sentnob,char_transpose,23
sentnob,char_transpose,30
sentnob,char_transpose,24
sentnob,char_transpose,35
sentnob,char_transpose,11
sentnob,char_transpose,53
sentnob,char_transpose,30
sentnob,char_transpose,15
sentnob,char_transpose,7
sentnob,char_transpose,8
sentnob,char_transpose,44
sentnob,char_transpose,22
sentnob,char_transpose,25
sentnob,char_transpose,29
sentnob,char_transpose,7
sentnob,char_transpose,14
sentnob,char_transpose,59
sentnob,char_transpose,9
sentnob,char_transpose,34
sentnob,char_transpose,25
sentnob,char_transpose,12
sentnob,char_transpose,16
sentnob,char_transpose,9
sentnob,char_transpose,18
sentnob,char_transpose,22
sentnob,char_transpose,13
sentnob,char_transpose,67
sentnob,char_transpose,34
sentnob,char_transpose,35
sentnob,char_transpose,17
sentnob,char_transpose,13
sentnob,char_transpose,66
sentnob,char_transpose,15
sentnob,char_transpose,11
sentnob,char_transpose,19
sentnob,char_transpose,25
sentnob,char_transpose,24
sentnob,char_transpose,28
sentnob,char_transpose,11
sentnob,char_transpose,9
sentnob,char_transpose,21
sentnob,char_transpose,32
sentnob,char_transpose,36
sentnob,char_transpose,20
sentnob,char_transpose,13
sentnob,char_transpose,29
sentnob,char_transpose,18
