metric,task,model,severity,mean,std,n_seeds
macro_f1,sentnob,banglabert,2,0.6822573742831601,0.013152965793378298,27
macro_f1,sentnob,banglabert,3,0.6509314445270541,0.027367893277564084,27
macro_f1,sentnob,banglabert,4,0.5968571752738774,0.05512165215541582,27
macro_f1,sentnob,banglabert,5,0.5310969688187546,0.10221388805645412,27
macro_f1,sentnob,char_ngram,0,0.6752255951193024,0.0,3
macro_f1,sentnob,char_ngram,1,0.6708638237335401,0.006834123643627541,27
macro_f1,sentnob,char_ngram,2,0.6668626025695116,0.007094615394063225,27
macro_f1,sentnob,char_ngram,3,0.6408295669744659,0.0172342131021323,27
macro_f1,sentnob,char_ngram,4,0.5981356361313936,0.040014656014426504,27
macro_f1,sentnob,char_ngram,5,0.5467568885560999,0.07345670018010443,27
macro_f1,sentnob,banglishbert,0,0.7063686723354774,0.0035691603403505776,3
macro_f1,sentnob,banglishbert,1,0.692858007080734,0.007814077487648756,27
macro_f1,sentnob,banglishbert,2,0.6772513215552749,0.01553159585285836,27
macro_f1,sentnob,banglishbert,3,0.6400850041928438,0.03248261172008727,27
macro_f1,sentnob,banglishbert,4,0.5801474161868321,0.06540076343695883,27
macro_f1,sentnob,banglishbert,5,0.5105583892182277,0.10434811685487493,27
macro_f1,sentnob,xlmr,0,0.6727786041043515,0.012306819830484097,3
macro_f1,sentnob,xlmr,1,0.6615829105988125,0.010216143734924325,27
macro_f1,sentnob,xlmr,2,0.6537173806095419,0.012230570279899372,27
macro_f1,sentnob,xlmr,3,0.6236525718248311,0.02414461893810227,27
macro_f1,sentnob,xlmr,4,0.5760398159075362,0.048522554191671154,27
macro_f1,sentnob,xlmr,5,0.5186247923190733,0.08137118440028103,27
macro_f1,sentnob,mbert,0,0.6592806636030869,0.016419440574524276,3
macro_f1,sentnob,mbert,1,0.6484047961881161,0.01120827397431643,27
macro_f1,sentnob,mbert,2,0.6341783540789915,0.01484221830168601,27
macro_f1,sentnob,mbert,3,0.608067331850183,0.02834025610912965,27
macro_f1,sentnob,mbert,4,0.558299957707376,0.05607131086168218,27
macro_f1,sentnob,mbert,5,0.5068105832882045,0.07949839078618406,27
macro_f1,bd_shs,banglabert,0,0.9210893816629286,0.004753412094884112,3
macro_f1,bd_shs,banglabert,1,0.9119631475758637,0.006575648951127007,27
macro_f1,bd_shs,banglabert,2,0.9026758588451181,0.010560412080534418,27
macro_f1,bd_shs,banglabert,3,0.8791628034038782,0.024636505055694837,27
macro_f1,bd_shs,banglabert,4,0.8365954043969782,0.049735606108344946,27
macro_f1,bd_shs,banglabert,5,0.7835328757548313,0.08343027522987082,27
macro_f1,bd_shs,char_ngram,0,0.9053582500074646,0.0,3
macro_f1,bd_shs,char_ngram,1,0.8959264150456712,0.005587249306357913,27
macro_f1,bd_shs,char_ngram,2,0.88588674507885,0.01000438529114091,27
macro_f1,bd_shs,char_ngram,3,0.8633915030456876,0.02191889104752614,27
macro_f1,bd_shs,char_ngram,4,0.8202435806046106,0.045238104504270314,27
macro_f1,bd_shs,char_ngram,5,0.7651217024454295,0.07901293317907335,27
macro_f1,bd_shs,banglishbert,0,0.9174712038652242,0.005852640430712083,3
macro_f1,bd_shs,banglishbert,1,0.907353611647287,0.006720795721345378,27
macro_f1,bd_shs,banglishbert,2,0.897655937426483,0.011392573957516165,27
macro_f1,bd_shs,banglishbert,3,0.8751130105088486,0.025028835605166288,27
macro_f1,bd_shs,banglishbert,4,0.8338937078087617,0.0488566382308594,27
macro_f1,bd_shs,banglishbert,5,0.7863828999379412,0.07913692489308799,27
macro_f1,bd_shs,xlmr,0,0.9151388557985429,0.003643913611874196,3
macro_f1,bd_shs,xlmr,1,0.906650125539292,0.006090356136152855,27
macro_f1,bd_shs,xlmr,2,0.898778880102739,0.010644083173517426,27
macro_f1,bd_shs,xlmr,3,0.881085390546051,0.02147599955330668,27
macro_f1,bd_shs,xlmr,4,0.8492460964752385,0.04108729355074447,27
macro_f1,bd_shs,xlmr,5,0.8144684564683756,0.06368197881772235,27
macro_f1,bd_shs,mbert,0,0.9153748509794046,0.0005636466121110531,3
macro_f1,bd_shs,mbert,1,0.9056884888998569,0.006070398281938308,27
macro_f1,bd_shs,mbert,2,0.89638017073151,0.011169798608428413,27
macro_f1,bd_shs,mbert,3,0.8759427607186901,0.02457979604937113,27
macro_f1,bd_shs,mbert,4,0.8399997987503809,0.04623394807854363,27
macro_f1,bd_shs,mbert,5,0.8010592567166618,0.07049455324799513,27
macro_f1,banfakenews,banglabert,0,0.9269758158634813,0.0033539202490466737,3
macro_f1,banfakenews,banglabert,1,0.8555908569542409,0.06210617492857576,27
macro_f1,banfakenews,banglabert,2,0.7077849826586683,0.15196360546276796,27
macro_f1,banfakenews,banglabert,3,0.4548806995032951,0.24440644327089306,27
macro_f1,banfakenews,banglabert,4,0.2931232452648893,0.23692151669355221,27
macro_f1,banfakenews,banglabert,5,0.23275960582545818,0.21986367089730338,27
macro_f1,banfakenews,char_ngram,0,0.9471431644787676,0.0,3
macro_f1,banfakenews,char_ngram,1,0.9429307239627227,0.0027437386899104793,27
macro_f1,banfakenews,char_ngram,2,0.9414888499817182,0.0041128405584576954,27
macro_f1,banfakenews,char_ngram,3,0.9390502272292899,0.0052818037713516066,27
macro_f1,banfakenews,char_ngram,4,0.924767887669426,0.02330455349641649,27
macro_f1,banfakenews,char_ngram,5,0.8825660505067637,0.08048663676732688,27
macro_f1,banfakenews,banglishbert,0,0.9193774785483845,0.0056654710963063805,3
macro_f1,banfakenews,banglishbert,1,0.7683944902091753,0.12942984733403937,27
macro_f1,banfakenews,banglishbert,2,0.5531620606049489,0.20962572679550062,27
macro_f1,banfakenews,banglishbert,3,0.3373670597223712,0.22487613303638998,27
macro_f1,banfakenews,banglishbert,4,0.24048850690684506,0.20584307510719516,27
macro_f1,banfakenews,banglishbert,5,0.2110060348250297,0.17672589890710685,27
macro_f1,banfakenews,xlmr,0,0.920419799221499,0.007517020201155482,3
macro_f1,banfakenews,xlmr,1,0.8857410543086685,0.05365111244853489,27
macro_f1,banfakenews,xlmr,2,0.8420862780539698,0.1028847423302539,27
macro_f1,banfakenews,xlmr,3,0.7504251660226211,0.16515745194904707,27
macro_f1,banfakenews,xlmr,4,0.647640567644418,0.20461924246388813,27
macro_f1,banfakenews,xlmr,5,0.5949660157434588,0.21804862581398798,27
macro_f1,banfakenews,mbert,0,0.8590517416203474,0.008016491006572889,3
macro_f1,banfakenews,mbert,1,0.8569343863112373,0.008916065447851864,27
macro_f1,banfakenews,mbert,2,0.848537212614238,0.011875547098164463,27
macro_f1,banfakenews,mbert,3,0.8151260430149624,0.03378594025563391,27
macro_f1,banfakenews,mbert,4,0.739132710413083,0.08654977786299213,27
macro_f1,banfakenews,mbert,5,0.6661399164792452,0.13323191793686875,27
